product_name,product_url,product_price,product_item_number,product_description,product_category,product_category_url,product_image,product_image_url,product_discount,product_free_shipping,product_number_of_ratings,product_number_of_ratings_url
"Quill Brand® 100% Recycled Hanging File Folders; 1/5-Cut Adjustable Tabs, Letter Size,Green, 50/Box (745215)",https://www.quill.com/quill-brand-standard-green-100-recycled-hanging-file-folders-1-5-cut-adjustable-tabs-letter-size-50-case/cbs/005880.html,$28.99,Item #: 901-745215,"Standard green 11 pt. stock
1/5-cut
Metal hanging rods have a tough coating that can't chip so folders glide smoothly on rails",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/7D54E143-D2A3-4986-82B2AF9ED76A6CD8_s7?$im220$,https://www.quill.com/quill-brand-standard-green-100-recycled-hanging-file-folders-1-5-cut-adjustable-tabs-letter-size-50-case/cbs/005880.html,Save 10%,Free shipping,-17,https://www.quill.com/quill-brand-standard-green-100-recycled-hanging-file-folders-1-5-cut-adjustable-tabs-letter-size-50-case/cbs/005880.html?tab=3&Effort_Code=901&Find_Number=745215&promoCode=#skuTabReviews%22
"Staples Reinforced Box Bottom Hanging File Folder, 2"" Expansion, 5-Tab, Letter Size, Standard Green, 25/Box (TR20027)",https://www.quill.com/staples-reinforced-box-bottom-hanging-file-folder-2-expansion-5-tab-letter-size-standard-green-25-box-tr20027/cbs/250285.html,$26.99,Item #: 901-884240,"Comes in standard green color and is made of 10.6-point paper stock and 128# basis weight for durability
Five assorted-position top tabs allow for ample space for labeling to keep your files organized
Rely on the box bottom design of these file folders to hold larger files easily; file folder tabs are detachable; tear-resistant",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s1166073_s7?$im220$,https://www.quill.com/staples-reinforced-box-bottom-hanging-file-folder-2-expansion-5-tab-letter-size-standard-green-25-box-tr20027/cbs/250285.html,,Free shipping,-61,https://www.quill.com/staples-reinforced-box-bottom-hanging-file-folder-2-expansion-5-tab-letter-size-standard-green-25-box-tr20027/cbs/250285.html?tab=3&Effort_Code=901&Find_Number=884240&promoCode=#skuTabReviews%22
"Quill Brand® Premium Reinforced 100% Recycled Hanging File Folders, 1/5-Cut , Letter Size, Assorted, 25/Box (76215AD)",https://www.quill.com/quill-brand-premium-reinforced-100-recycled-hanging-file-folders-1-5-cut-adjustable-tabs-letter-size-assorted-colors-25-bx/cbs/217517.html,$19.99,Item #: 901-76215AD,"Assorted color folders have superior durability with poly laminated reinforcement at critical stress points
1/5-cut
10 times stronger than folders without laminated reinforcements",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/53B614E2-D744-4B30-AD0A2C262F9E681D_s7?$im220$,https://www.quill.com/quill-brand-premium-reinforced-100-recycled-hanging-file-folders-1-5-cut-adjustable-tabs-letter-size-assorted-colors-25-bx/cbs/217517.html,Save 10%,,-13,https://www.quill.com/quill-brand-premium-reinforced-100-recycled-hanging-file-folders-1-5-cut-adjustable-tabs-letter-size-assorted-colors-25-bx/cbs/217517.html?tab=3&Effort_Code=901&Find_Number=76215AD&promoCode=#skuTabReviews%22
"Quill Brand® 100% Recycled Premium Reinforced 5-Tab Hanging File Folders, Letter Size, Green, 25/Box (76215P)",https://www.quill.com/quill-brand-100-recycled-premium-reinforced-5-tab-hanging-file-folders-letter-standard-green-25-bx-76215p/cbs/195887.html,$16.59,Item #: 901-76215P,"Green folders have superior durability with poly laminated reinforcement at critical stress points
1/5-cut
10 times stronger than folders without laminated reinforcements",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/F4350FF5-FA7C-4FFA-BA42403798576F84_s7?$im220$,https://www.quill.com/quill-brand-100-recycled-premium-reinforced-5-tab-hanging-file-folders-letter-standard-green-25-bx-76215p/cbs/195887.html,Save 9%,,-37,https://www.quill.com/quill-brand-100-recycled-premium-reinforced-5-tab-hanging-file-folders-letter-standard-green-25-bx-76215p/cbs/195887.html?tab=3&Effort_Code=901&Find_Number=76215P&promoCode=#skuTabReviews%22
"Pendaflex SureHook 5-Tab Hanging File Folders, Letter Size, Multicolor, 20/Box (6152 1/5 ASST)",https://www.quill.com/pendaflex-surehook-5-tab-hanging-file-folders-letter-size-multicolor-20-box-6152-1-5-asst/cbs/212218.html,$28.99,Item #: 901-615215AD,"11-point stock in five colors, including blue, red, yellow, bright green and orange
Built-in tension springs and longer hooks for durability and security
Dimensions: 13"" x 9.56"" x 2.81""",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/m005168223_s7?$im220$,https://www.quill.com/pendaflex-surehook-5-tab-hanging-file-folders-letter-size-multicolor-20-box-6152-1-5-asst/cbs/212218.html,Save 3%,Free shipping,-316,https://www.quill.com/pendaflex-surehook-5-tab-hanging-file-folders-letter-size-multicolor-20-box-6152-1-5-asst/cbs/212218.html?tab=3&Effort_Code=901&Find_Number=615215AD&promoCode=#skuTabReviews%22
"Staples Hanging File Folder, 5-Tab, Letter Size, Blue, 25/Box (TR163501)",https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-blue-25-box-tr163501/cbs/250508.html,$25.99,Item #: 901-163501,"Colored hanging file folder made of tear-resistant blue material with durable coated hooks
Five top-position tabs allow you to customize your files
File folder tabs are detachable",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/1D1EA93E-2492-400F-99C02A5D910035CB_s7?$im220$,https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-blue-25-box-tr163501/cbs/250508.html,,Free shipping,-241,https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-blue-25-box-tr163501/cbs/250508.html?tab=3&Effort_Code=901&Find_Number=163501&promoCode=#skuTabReviews%22
"Staples Reinforced Box Bottom Hanging File Folders, 2"" Expansion, 5 Tab, Letter Size, Assorted, 25/Box (TR20028)",https://www.quill.com/staples-reinforced-box-bottom-hanging-file-folders-2-expansion-5-tab-letter-size-assorted-25-box-tr20028/cbs/250306.html,$39.99,Item #: 901-884239,"Comes in assorted colors and made of reinforced 11-point kraft
Five top tabs to keep your files organized
Features coated hanger, box bottom, reinforced bottom and is wear- and tear-resistant",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s1166054_s7?$im220$,https://www.quill.com/staples-reinforced-box-bottom-hanging-file-folders-2-expansion-5-tab-letter-size-assorted-25-box-tr20028/cbs/250306.html,,Free shipping,-58,https://www.quill.com/staples-reinforced-box-bottom-hanging-file-folders-2-expansion-5-tab-letter-size-assorted-25-box-tr20028/cbs/250306.html?tab=3&Effort_Code=901&Find_Number=884239&promoCode=#skuTabReviews%22
"Pendaflex SureHook Reinforced Hanging File Folders, Extra Capacity, Letter Size, Standard Green, 20/Box (PFX 6152x2)",https://www.quill.com/pendaflex-surehook-reinforced-hanging-file-folders-extra-capacity-letter-size-standard-green-20-box-pfx-6152x2/cbs/55154456.html,$38.99,Item #: 901-784623,"Standard green paper stock folders hold up to wear and tear
Poly-reinforced top edge and bottom folds provide added durability
Accommodates letter-size papers and files",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/sp42803967_s7?$im220$,https://www.quill.com/pendaflex-surehook-reinforced-hanging-file-folders-extra-capacity-letter-size-standard-green-20-box-pfx-6152x2/cbs/55154456.html,Save 5%,Free shipping,-31,https://www.quill.com/pendaflex-surehook-reinforced-hanging-file-folders-extra-capacity-letter-size-standard-green-20-box-pfx-6152x2/cbs/55154456.html?tab=3&Effort_Code=901&Find_Number=784623&promoCode=#skuTabReviews%22
"Quill Brand® 100% Recycled Hanging File Folders; 1/5-Cut, Letter Size, Green, 25/Box (7Q5215)",https://www.quill.com/hanging-file-folders-25-box/cbs/015234.html,$16.59,Item #: 901-7Q5215,"Standard dark green 11 pt. stock
1/5-cut
Letter size",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/904D9F90-F923-4FC0-889C2668AE06C9BD_s7?$im220$,https://www.quill.com/hanging-file-folders-25-box/cbs/015234.html,Save 6%,1-2 day delivery,-133,https://www.quill.com/hanging-file-folders-25-box/cbs/015234.html?tab=3&Effort_Code=901&Find_Number=7Q5215&promoCode=#skuTabReviews%22
"Staples Hanging File Folder, 5-Tab, Letter Size, Red, 25/Box (TR163535)",https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-red-25-box-tr163535/cbs/250432.html,$24.79,Item #: 901-163535,"Comes in red color and is made of 10.5-point paper stock with 114# basis weight for durability
Five assorted-position top tabs allow for ample space for labeling to keep your files organized
File folder tabs are detachable and tear-resistant",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s1166147_s7?$im220$,https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-red-25-box-tr163535/cbs/250432.html,,1-2 day delivery,-147,https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-red-25-box-tr163535/cbs/250432.html?tab=3&Effort_Code=901&Find_Number=163535&promoCode=#skuTabReviews%22
